timestamp,pid,cpu_pct,ram_mb,vsz_mb,gpu_pct,vram_mb,read_kb_s,write_kb_s,threads,fds
1787849932.479,417488,,4.6,8.0,,,,,1,14
1787849932.778,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849933.076,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849933.373,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849933.670,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849933.969,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849934.268,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849934.570,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849934.868,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849935.168,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849935.465,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849935.764,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849936.062,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849936.360,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849936.657,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
1787849936.954,417488,0.00,4.6,8.0,,,0.0,0.0,1,14
