timestamp,pid,cpu_pct,ram_mb,vsz_mb,gpu_pct,vram_mb,read_kb_s,write_kb_s,threads,fds
1787865559.430,471716,,2.4,3.7,,,,,1,4
1787865559.732,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865560.035,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865560.337,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865560.639,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865560.943,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865561.246,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865561.548,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865561.851,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865562.154,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865562.458,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865562.762,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865563.064,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865563.366,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865563.668,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865563.970,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865564.271,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865564.585,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865564.887,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
1787865565.188,471716,0.00,2.4,3.7,,,0.0,0.0,1,4
